book1,book2,weight
90045,111474,6
90045,117994,5
111474,117994,34
27579,95399,57
27579,111413,49
51703,111413,68
111413,111474,77
1387,5506,12
1387,6877,21
1387,6878,17
1387,6882,35
5506,6878,31
6877,6878,39
2609,5664,4
2609,5665,7
2609,5666,6
2609,5667,11
2609,5668,10
2609,26940,10
2609,105017,10
2609,110872,20
5506,5664,5
5506,5665,8
5506,5666,8
5506,5667,13
5506,5668,9
5506,26940,9
5506,60389,9
5506,64769,14
5506,88800,16
5506,105017,7
5506,110872,29
5664,5665,40
5664,5666,28
5664,5667,36
5664,5668,39
5664,6877,7
5664,26886,9
5664,26940,2
5664,51703,5
5664,60389,2
5664,64769,6
5664,88800,4
5664,105017,2
5664,110872,7
5664,111413,6
5664,111474,8
5664,117994,6
5664,130535,7
5665,6877,9
5665,26886,25
5665,26940,4
5665,51703,10
5665,60389,2
5665,64769,5
5665,88800,6
5665,105017,2
5665,110872,5
5665,111413,11
5665,111474,13
5665,117994,6
5665,130535,10
5666,6877,11
5666,26940,3
5666,51703,9
5666,60389,2
5666,64769,6
5666,88800,5
5666,105017,2
5666,110872,6
5666,111413,9
5666,111474,13
5666,117994,6
5666,130535,12
5667,6877,17
5667,26940,6
5667,51703,15
5667,60389,2
5667,64769,7
5667,88800,9
5667,105017,6
5667,110872,9
5667,111413,11
5667,111474,24
5667,117994,10
5667,130535,13
5668,6877,12
5668,26940,5
5668,51703,16
5668,60389,2
5668,64769,11
5668,88800,10
5668,105017,6
5668,110872,11
5668,111413,10
5668,111474,18
5668,117994,9
5668,130535,14
6877,26940,10
6877,51703,44
6877,60389,12
6877,64769,15
6877,88800,21
6877,105017,9
6877,110872,24
6877,111474,56
26886,26940,13
26886,51703,41
26886,105017,16
26886,110872,15
26886,111474,43
26940,51703,7
26940,60389,4
26940,64769,3
26940,88800,11
26940,105017,8
26940,110872,3
26940,111413,7
26940,111474,12
26940,117994,4
26940,130535,8
51703,60389,11
51703,64769,18
51703,105017,15
51703,110872,23
51703,117994,31
51703,130535,44
60389,105017,3
60389,110872,9
60389,111474,12
60389,117994,7
60389,130535,10
64769,105017,5
64769,110872,19
64769,111474,21
64769,117994,10
64769,130535,21
88800,105017,22
88800,110872,15
88800,117994,15
88800,130535,22
105017,110872,4
105017,111413,9
105017,111474,24
105017,117994,8
105017,130535,8
110872,111413,31
110872,111474,24
110872,117994,29
110872,130535,38
111474,130535,49
1526,51703,37
3948,70479,4
6882,27579,59
6882,88800,31
6882,105017,13
6882,111474,57
27579,105017,28
3948,5668,41
16234,18379,14
16234,25970,11
16234,49052,11
16234,52722,10
16234,64514,6
16234,65670,9
16234,78255,3
16234,293382,4
18379,25970,13
18379,49052,13
18379,52722,9
18379,64514,15
18379,78255,10
18379,93133,10
18379,93258,11
18379,93450,10
18379,93573,10
18379,293382,8
25970,64514,13
25970,78255,6
25970,93133,9
25970,93258,8
25970,93450,9
25970,93573,8
25970,293382,5
49052,64514,4
49052,78255,4
49052,93133,7
49052,93258,6
49052,93450,7
49052,93573,8
49052,293382,5
52722,64514,8
52722,78255,4
52722,93133,5
52722,93258,4
52722,93450,4
52722,93573,5
52722,293382,3
64514,65670,6
64514,78255,6
64514,93133,6
64514,93258,6
64514,93450,5
64514,93573,4
64514,293382,3
65670,78255,3
65670,93133,3
65670,93258,3
65670,93450,4
65670,93573,3
65670,293382,3
78255,93133,4
78255,93258,5
78255,93450,4
78255,93573,3
78255,293382,5
93133,93573,20
93133,293382,4
93258,93573,18
93258,293382,5
93450,293382,5
93573,293382,3
110885,110940,5
110885,411993,22
110940,411993,3
5506,125910,7
6877,125910,12
110872,125910,6
125910,130535,14
6882,21696,20
6883,21696,5
6883,88800,27
21696,88800,9
9007,311866,5
1387,6883,26
5785,6883,17
5785,60389,6
5786,60389,7
6883,60389,8
78262,293382,5
1387,65369,9
1526,65369,10
1526,118216,18
65369,118216,2
6877,27579,42
26886,125910,13
27579,130535,44
51231,52722,8
51231,100697,4
51231,176715,4
51231,176716,4
51231,361335,2
51231,421078,10
52722,100697,3
52722,176715,6
52722,176716,6
52722,361335,2
52722,421078,4
100697,176715,2
100697,176716,2
100697,361335,2
100697,421078,5
176715,176716,18
176715,361335,2
176715,421078,3
176716,361335,2
176716,421078,3
361335,421078,2
1526,5785,27
3946,3947,47
3946,5666,12
3946,5668,19
3946,6883,8
3946,26886,15
3946,27579,16
3946,130535,14
3947,5666,11
3947,5668,21
3947,6883,11
3947,26886,18
3947,27579,25
3947,130535,18
5666,6883,8
5666,27579,12
5668,6883,11
5668,27579,22
6883,26886,39
6883,27579,44
6883,130535,26
2609,27579,57
27579,88772,51
1387,18370,10
1387,18379,9
1387,18467,10
1387,18517,15
1387,49052,6
1387,64769,19
1387,78256,2
1387,88772,40
1387,110872,9
1387,110885,8
1387,130535,15
1387,253230,4
1387,253256,6
1387,411993,4
5506,6883,27
5506,18379,10
5506,18467,3
5506,18517,14
5506,49052,8
5506,78256,7
5506,110885,16
5506,253230,5
5506,253256,15
6877,6883,42
6877,18379,9
